Question,Category
"maːrɡajak adijara 3kin sæːdimaʈa tiːranaja karajiː. in palamu pijavara vanneː avurudu 4 , devana pijavara. palamu pijavara men baːɡajaki. tunvana pijavVrV devVnV pijVvVrV men deɡunVjVki.  maːrɡVjV sæːdiːmVʈV ɡVnneː 2009 d͡ʒVnVvVaːrVi 1 vVenVidVaː nVm ejV sVaːdVaː nVimV vVnnVeː kVvVdVaːdV ",2
"amal ɡeː duva nimalaː ja. malitiɡeː baːla næɡanija vanneːda nimalaːja.  tarusiɡeː mava maliti veː. nimalaː tarusiɡeː kavda ",0
"70 999 ʈa 1 k væɖi saŋk‍jaːva kumakda",0
"peʈʈijaka saban kæʈa 6bæɡin evæni peʈʈi 158 ka æti saban kæʈa ɡanana kiːjada",0
"ganakajaka haː ganakaːbajaka æti siːrsa ɡananeː ekatuva kiːjada",1
"miːʈar 10n 10 ʈa parataraja ætuva væʈaka kanu 10k siʈuvaː æti nam mema væʈeː diɡa kiːjada? ",0
"boːlajaka mila rupijal  450ki  kæːma peʈʈijaka mila emen 2/5ki. boːlajak haː kæːma peʈʈijak ɡena rupijal 1000k dun viʈa læbena itirija kiːjada? ",0
"taːttaː dumrijen pæja 3 minittu 40k da basajen pæja 2 minittu 45k da ɡaman karaji. ejaʈa ɡata vuna mulu kaːlaja kopamaɳada ",0
"kæʈajaka rupijal 2kaːsi haː rupijal 5 kaːsi pamaɳak æta. ehi æti mulu kaːsi ɡanana 50ki. kaːsivala mulu vaʈinaːkama rupijal 166ki.  kæʈajeː æti rupijal 2kaːsai ɡanana saha 5 kaaːsai ɡanana kaiːjVdV? ",0
"polɡeɖi 328k samaːnava ɡoɖaval 4kaʈa venkara æta. ɡoɖaval 3ka æti polɡeɖi ɡanana kiːjada? ",0
"ɡoːnijaka bara kiloːɡ‍ræːm 75ki. ehi haːl kiloːɡ‍ræːm 34 k haː ɡ‍ræːm 750k haː siːni kiloːɡ‍ræːm 18kda itirija piʈida æta. ehi æti piʈi p‍ramaːnaja kopamaɳada ",0
"roːɡijeku pæjakaʈa varak biːmaʈa behet deji. ohu behet palamu varaʈa bivveː pe.va.5.00ʈa nam pasvana varaʈa bona velaːva kiːjada? ",0
"ganakaːba 10k ekamata tabaː æɳa ɡæsuveː nam ema ganavastuveː æti muhunat ɡanana kiːjada? ",1
"8,3,9,7,1 mema ilakkam sijalla baːvitaː kara sæːdija hæki devana visaːlama saŋk‍jaːva kumakda ",0
"akkaː laɡa tibuna amba valin 1/2 naŋɡiːʈa dunnaːja. naŋɡiːʈa læbuna ɡeɖi ɡanana 9 nam akkaː laɡa tibuː amba ɡeɖi p‍ramaːnaja roːma saŋk‍jaːven kumakda ",1
"pæɭa tavaːnaka amba pæla 4870 kda, iːʈa vaɖaː 375k væɖijen pol pælada pol pæɭavalaʈa vaɖaː 299k væɖijen tæmbi pæɭada æta. ehi æti mulu pæɭa ɡanana kiːjada?",2
"amba ɡeɖi 32n 1/4k narak vija. hoda amba ɡeɖi ɡanana kiːjada? ",0
"paŋtijaka siʈi ɭamaji ɡanana 36ki. in 3/4 t͡ʃaːrikaːvakaʈa sahabaːɡiː vija.  sahabaːɡiː novuː lamaji ɡanana kiːjada",0
"k‍riːɖaː utvasajak sadahaː k‍riːɖaː piʈija vaʈaː miːʈara 5n 5ʈa kaɳu 125k siʈuvaː æta. mema piʈʈanija vaʈaː æti diɡa p‍ramaːnaja kopamaɳada ",0
"dina 31n avasan vana maːsajaka palavenidaː iridaː davasaki. ema maːsajeː avasan davasa kavadaːda ",0
"maːrtu 18 dina aːramba kala p‍radarsanaja ap‍reːl tek pævæt vija. eja pævati dina ɡanana kiːjada? ",0
"koɖi vælaka nil kaha ratu jana pilivelaʈa koɖi ellaː æta.ema væleː koɖi 199k æta. ehi aɖuvenma æti koɖijeː paːʈa kumakda ",0
"taːttaː laɡa tibuː mudalin aɖak ammaːʈada itiri mudala maʈat naŋɡiːʈat samaːnava dunneːja. maʈa læbuna mudala rupijal 450ki. taːttaː laɡa tibuː mudala kiːjada",2
"miːʈa vasara 5 kaʈa pera lavan haː ohuɡeː mavaɡeː vajasvala ekatuva avurudu 32ki. dæn lavanɡeː vajasa avurudu 12ki. dæn dedenaːɡeː vajas vala ekatuva kiːjada? ",0
"oraloːsuvak dinakaʈa vinaːɖi 5k p‍ramaːdava ɡaman karaji. eja pæjak p‍ramaːdava velaːva penviːmaʈa dina kiːjak ɡata veːda",2
"jaturu pædijak pæja 2 kadiː kiloːmiːʈara 120k ɡaman karaji eja vinaːɖi 20kadiː jana dura kiːjada? ",0
"potaka piʈu 123 bæɡin pot 4k da piʈu 108 bæɡin pot 5k da æta. eːvaːjeː æti mulu piʈu ɡanana kiːjada?",0
"23:30 jana veːlaːva saːmaːn‍ja veːlaːven kumak veːda",1
"1t 50t atara tani ilakkamin sæːduna saŋk‍jaː kiːjada",0
"ajijaː saha malliːɡeː vajas vala ekatuva avurudu 35ki. ajijaː malli ʈa vaɖaː avurudu 5k væɖimalja. taːttaː loku putaːʈa vaɖaː avurudu 25k væɖimal veː nam taːttaaːɡaeː vajasa kaiːjada? ",0
"20,7,18,12,15,9,6, jana aŋka valin tuneː ɡunaːkaːra lijuː viʈa hari mædaʈa ena aŋkaja kumakda ",0
"samapaːda t‍rikoːnajak t͡ʃatustalajak saːdaː ɡæniːmaʈa hari mædin navaː ɡata jutu vaːra ɡanana kiːjada? ",1
"senuka paːsal jana viʈa kusal idirijaʈa pæminijeːja. kusalɡeː muhunaʈa hiru elija væʈiː tibuniː. senuka ɡaman karanneː kumana disaːvaʈada",1
"taːttaː kiloːmiːʈara 12 miːʈara 750k basajenda iːʈa vaɖaː kiloːmiːʈara 12 miːʈar 500k væɖijen dumrijen ɡaman karajiː. ohu dumrijen ɡaman kaɭa dura kiːjada? ",0
"pe.va.1.35 ɖid͡ʒiʈal veːlaːven kiːjada",1
"miːʈara 5 ji senʈimiːʈara 25k diɡa paʈijak samaːna koʈas 7kaʈa kæpuː viʈa ek koʈasaka diɡa kiːjada? ",0
"moːʈar ratajak palamu kiloːmiːʈarajaʈa rupijal 50k da devana kiloːmiːʈarajeː siʈa væɖivana sæːma kiloːmiːʈarajaʈama rupijal 10 bæɡin aja karaji. kiloːmiːʈara 10ka ɡVmVnVʈV væjV vVnV mulu mudVlV kiːjVdV? ",2
"næɡenahira disaːvaʈa muhunalaː siʈina amal surd͡ʒukoːɳaːs‍rajak lesa tamanɡeː dakuɳu  ata disaːvaʈa hæreː dæn ohuɡeː vam ata æti disaːva kumakda ",0
"paŋtijaka ɡæhæɳu lamaji siʈina saŋk‍jaːva pirimi lamaji siʈina saŋk‍jaːvaʈa vaɖaː væɖi veː. ema venasa 4ki. mulu lamaji ɡanana 30ki. ehi ɡæhæɳu lamun ɡanana kiːjada? ",0
"2021 sija 45 vena upandinaja sæmaruː siriseːna mahataː sija 37 vana upandinaja sæmaruː vasara kumakda ",0
"udeː 8.30ʈa paːsal pæmini netmi dahaval 2.45 tek paːsaleː rædiː nivasaʈa jaːmaʈa piʈat vuni. æja paːsaleː siʈi kaːlaja kopamaɳada ",0
"mallak tula boːla 50k æta. in 5 ɡunaːkaːra kiːjak nam tibeːda",1
"dumrijaka siʈi pirimi maɡiːn ɡanana1018ki. ɡæhænu maɡiːn ɡanana 936ki. ehi siʈina mulu maɡiːn ɡanana kiːjada? ",0
"bas ratajaka maɡiːhu 68k siʈijaha. ejin 19k palamu bas nævatumen bæsa ɡijeːja. tavat maɡiːn 12 denek iːlaŋɡa nævatumen basajaʈa næɡɡoːja. dæn bas ratajeː maɡiːn kiːjada?",0
"putaːɡeː bara kiloːɡ‍ræːm 19 ki. taːttaːɡeː bara kiloːɡ‍ræːm 58ki. putaːʈa vaɖaː taːttaː kopamaɳada barada",0
"rupijal 2150k lesa mila saʈahan kara æti kamisajak vikiɳiːmeːdiː rupijal 250kin mila aɖu karaji. evani kamisajak miladiː ɡæniːmaʈa ɡevija jutu mudala kiːjada",0
"a paːsaleː sisun ɡananaʈa vaɖaː b paːsaleː sisun ɡaɳana 15kin væɖija. b paːsaleː siʈina sisun ɡanana 810k nam paːsal dekama siʈina sisun ɡaɳana kiːjada",0
"bæralajaka tibuː poltel p‍ramaːnajen liːʈara 225k bedaː dun pasu ehi poltel liːʈara 95k ituru viː tibuniː. bæralajeː mulin tibuː poltel p‍ramaːnaja kopamaɳada ",0
"potaka piʈu 960k æta. supun iridaː dina ehi piʈu aŋka 35 siʈa 110 dakvaːda, sadudaː dina pera daː natara kaɭa tæna siʈa piʈu aŋka 215 tekda kijavuːjeːja. ohu dina dekeːma kijavuː paiʈau ɡanana kaiːjadV? ",2
"ek ɡoɖaka amba ɡeɖijak saha doɖam ɡeɖidekak æta. ehi mila rupijal 22ki. tavat ɡoɖaka doɖam ɡeɖi 3k saha amba ɡeɖi 2k æta. ema ɡoɖeː mila rupijal 35ki. eseːnam amba ɡeɖi 3k haː doɖam ɡeɖi 5ka mila kaiːjada? ",0
"sisuvek pæːn 1 pot 5 pænsal 2 bæɡin lamaji 40 kaʈa diːmaʈa avas‍ja pæːn ɡanana kiːjada? ",0
"paŋtijaka siʈina lamunɡen 3/5k edina paŋtijaʈa pæmina æta. paŋtijeː siʈina lamun ɡanana 15 nam nopæmini lamun ɡanana kiːjada? ",0
"varakaʈa peti 2 bæɡin dinapataː udeːʈa haː raːt‍rijaʈa behet bona ajeku dina 10 sadahaː avas‍ja behet peti ɡanana kiːjada? ",0
"nil,‍ratu, kaha lesa vælaka koɖi ellaː æti nam mulu koɖi ɡanana 96 nam ehi aɖuvenma æti koɖi ɡanana kiːjada? ",0
"kaɖajaka pol 3480k æta. in ɡeɖi 1275k vikuːnuː viʈa itirija kiːjada? ",0
"maɡeː vajasa avurudu 12ki. taːttaːɡeː vajasa avurudu 36ki. maɡeː vajasa deɡunajak vanaviʈa taːttaːɡeː vajasa kiːjada? ",0
"pereːdaː 3 venidaːja. aniddaː sikuraːdaːja. ada dinaja haː davasa kumakda ",0
"4 denekuʈa saŋɡ‍raha kirimaʈa biːma boːtal ekak avas‍ja veː. 30 denekuʈa saŋɡ‍raha kiriːmaʈa biːma boːtal kiːjak avas‍ja veːda",0
"sis‍jajeku basnaːhiraʈa muhuɳalaː siʈina viʈa ohuɡe dakuɳu ata pihiʈana pætteː paːsalada vam ata pihiʈana pætteː nivasada pihiʈaː æta”paːsala pihiʈaː ætai daisaaːva kaumakda?",0
"sis‍jajeku basnaːhiraʈa muhuɳalaː siʈina viʈa ohuɡe dakuɳu ata pihiʈana pætteː paːsalada vam ata pihiʈana pætteː nivasada pihiʈaː æta”nivasa pihiʈaː ætai daisaaːva kaumakda?",0
"bajisikal roːdajak devarak karakævena viʈa miːʈar 3 k ɡaman karaji.eː sadahaː tatpara 30 k ɡata veː.minittu 5 kadiː bajisikal roːdaja ɡaman kaɭa dura kopVmVɳVdV?",2
"vattakin d͡ʒanavaːri maːsajeː pol ɡeɖi 1288 da iːʈa vaɖaː ɡeɖi 475 væɖijen maːrtu maːsajeːda maːrtu valaʈa vaɖaː ɡeɖi 70 væɖijen mæji maːsajeːda pol kaɖaː æta.ema vattaen maaːsa taunaeːmaaː kaæɖauː mauɭau paol ɡaeɖVi ɡVɳVnV kViːjVdV?",2
"pe.va. 6.40 ʈa piʈat vuː dumrija pa.va 1.20 ʈa ɡamana avasan karaji.ɡamanaʈa ɡata vuː kaːlaja kopamaɳada?",0
"bas ratajen pæja 1 minittu 40 da dumrijen pæja 2 minittu 45 da ɡaman kaɭa ajek  ɡamanaʈa ɡata kaɭa muɭu kaːlaja kopamaɳada?",0
"amba ɡeɖi 864k peʈʈijakaʈa 8 bæɡin dæmiːmaʈa avas‍ja peʈʈi ɡaɳana kiːjada?",0
"1 siʈa 20 tek iraʈʈeː saŋk‍jaː liviːmeːdiː ehi æti 2 n bedena saŋk‍jaː ɡaɳana kiːjada?",1
"vibaːɡa saːlaːvakaʈa ɡena aː p‍rasna pat‍ravala aŋka anupiɭiveɭaʈa æta.ehi mul aŋkaja 0144 da avasaːna aŋkaja 0218 veː.ehi æti p‍rasna pat‍ra ɡaɳana kiːjada?",2
"dina 31 æti maːsajaka devana dinaja badaːdaː davasak nam 29 daː kumana davasakda?",0
"senuka satijeː sæːma sadudaː dinakama k‍rikaʈ puhuɳuviːm sadahaː jaji.2020-02-07 vana  daː iridaː dinajaki.eː anuva ema maːsajeː ohu k‍rikaʈ puhuɳuviːm sadahaː ɡija vaːra ɡaɳana kaiːjada?",0
"pantijaka ɭamaji 40 k siʈiti.ema ɭamaji samaːna kaɳɖaːjam 5 kaʈa beduː atara ɡovidu ek kaɳɖaːjamaka saːmaːd͡ʒikajeku vana atara ema kaɳɖaːjameː naːjakajaːda veː.ohuʈa baːrVvV æti ɭVmun ɡVɳVnV kiːjVdV?",0
"ɭamajek ɭaɡa tibuː pænsal 50n ½ jaːɭuvanʈa bedaːdun atara itiri p‍ramaːɳajen 1/5 ɡurutumaːʈa dunneː nam ohu ɭaɡa itiri pænsal ɡaɳana kiːjada?",2
"doɖam ɡeɖi 1 saha amba ɡeɖi 1 mila ru 110 nam,amba ɡeɖi 1 saha ɡaslambu ɡeɖi 1 mila ru 120 nam,amba heɖi 1 saha ɡaslambuː ɡeɖi 2 ka mila ru 190 nam,doɖam ɡeɖijaka mila kiːjada?",0
"doɖam ɡeɖi 1 saha amba ɡeɖi 1 mila ru 110 nam,amba ɡeɖi 1 saha ɡaslambu ɡeɖi 1 mila ru 120 nam,amba heɖi 1 saha ɡaslambuː ɡeɖi 2 ka mila ru 190 nam,amba ɡeɖijak doɖam ɡeɖijak haː ɡaslambuː ɡeɖijak ɡæniːmaʈa avas‍ja mVudVlV kViːjVdV?",0
"peʈʈijaka tibuɳu bittara valin 2/5 k ratu bittara veː. itiri eːvaː 315 k sudu bittara veː.peʈʈijeː tibuː muɭu bittara ɡaɳana kiːjada?",2
"dakuɳu disaːvaʈa hæriː siʈi tamidu aːpasu hæriː miːʈar 10 ɡaman kara  tamaːɡeː vam ata pættaʈa hæriː miːʈar 10 ɡaman kara navati.dæn tamidu siʈinneː ɡaman aramba kaɭa staːnajeː siʈa balVnV viʈV kumVnV dVisVaːvVendV?",0
"kad͡ʒu mada kiloːɡ‍ræːm 1 ka mila ru. 890 ki. siːni ɡ‍ræːm 500 ru. 68 ki. ammaː kad͡ʒu mada ɡ‍ræːm 600 siːni ɡ‍ræːm 750 ɡat viʈa ɡevija jutu mudala kiːjada?",0
"putaːɡeː bara kiloːɡ‍ræːm 13 ɡ‍ræːm 850 taːttaːɡeː bara emen tun ɡuɳajaki.taːttaːɡeː bara kopamaɳada?",0
"ajijaːɡeː dahavana upan dinaja samarana viʈa malliɡeː vajasa avurudu 4 ki.malliɡeː aʈavana upandinaja samarana  viʈa ajijaːɡeː vajasa kiːjadV?",0
"avuruddakaʈa dina 28,dina 30,dina 31 jedunu maːsa æta.eː anuva avuruddakaʈa 30 dinaja jeduɳu maːsa kopamaɳa tibeːda?",1
"siːni 2kg ka mila ru 216 ki.piʈi 1kg 500g ru 240 ki.siːni 1kg haː piʈi 1kg ɡat viʈa ɡevija jutu mudala kiːjada?",0
"t‍riːvilar ratajak paɭamu kiloː miːʈarajaʈa ru 50.00 da devana kiloːmiːʈarajeː siʈa væɖivana sæːma kilomiːʈarajaʈa ru 15 bæɡinda aja karaji.kiloːmiːʈar 10 ka ɡamanak sVdVhaː ajV kVrVnV mudVlV kiːjVdV?",0
"varsa 2021 diː siʈa 58 vana upan dinaja samaruː ɡoɖaɡeː mahataː sija 43 vana upandinaja samaruː varsaja kumakda?",2
"mæji 4 siʈa d͡ʒuli 8 tek æti dina ɡaɳana kiːjada?",0
"25km kæpija jutu paːrakin 12km 850m haː 3800m kapaː æta.tava kæpiːmaʈa æti p‍ramaːɳaja kopamaɳada?",2
"maː ɭaɡa æti mudalaʈa ru 45 k væɖijen malliː ɭaɡa mudal  æta.malliː ɭaɡa æti mudalaʈa ru 185 k væɖijen naŋɡiː ɭaɡa mudal æta.malliː ɭaɡa æti mudala ru 360 k nam apa tidenaː ɭaɡama æti muɭu mudalV kiːjVdV?",0
"paː ɡamanin jana ajek pæja 3 kadiː 24km k dura ɡaman karaji.ohu vinaːɖi 15 kadiː ɡaman karana dura kopamaɳada?",0
"pe.va. 12.45 sammata (ɖid͡ʒiʈal) veːlaːva kumakda?",1
"pa.va. 3.45 sammata (ɖid͡ʒiʈal) veːlaːva kumakda?",1
"00:30 saːmaːn‍ja veːlaːva kumakda?",1
"19:15 saːmaːn‍ja veːlaːva kumakda?",1
"amba ɡeɖi 816 k samaːna ɡoɖaval 4 kaʈa dæmuː viʈa ek ɡoɖaka æti amba ɡeɖi ɡaɳana kiːjada?",0
"kuːɖuvaka haːvoː saha kukuɭan siʈiti.ema satunɡeː paːdavala muɭu ekatuva 52 ki. ehi siʈi haːvun saŋk‍jaːva 7 nam kukuɭan saŋk‍jaːva kiːjada?",0
"kamiːsajakaʈa bottam 4 bæɡin ælliːmaʈa bottam 536 k ɡenaːveːja. eːvaː kamiːsa kiːjakaʈa sæːheːda?",0
"akilaɡeː tattaː 1995 diː v‍jaːpaːrajak aːramba karana viʈa akilaɡeː vajasa avurudu 7 ki.ema v‍jaːpaːrajaʈa avurudu 25 k pirena viʈa akilaɡeː vajasa kiːjada?",0
"anuː haja dahas haːrasija vissaʈa tun dahas hættæː pahak ekatu kaɭa viʈa læbena piɭitura kumakda?",0
"paːraka navataː tibuː vaːhana 16 n aɖak moːʈar rata veː.itirijen aɖak t‍riːviːlar veː.itiri kaːr haː jaturu pædi lesa samaːnava æta.mema vaːhana vala æti muɭu roːda ɡaɳana kiːjada?",0
"potaka piʈu 108 k æta. evæni pot 4 kda, tavat potaka piʈu 213 k æti.evæni pot 6 da æti muɭu  piʈu ɡaɳana kiːjada?",0
"æpal ɡeɖi 4 ka haː ɡaslambuː ɡeɖi3 ka mila ru 620 ki.æpal ɡeɖijakaʈa vaɖaː ɡaslambuː ɡeɖijak ru 20 k mila væɖija æpal ɡeɖijaka mila kiːjada?",0
"æpal ɡeɖi 4 ka haː ɡaslambuː ɡeɖi3 ka mila ru 620 ki.æpal ɡeɖijakaʈa vaɖaː ɡaslambuː ɡeɖijak ru 20 k mila væɖija ɡaslambu ɡeɖijaka mila kiːjada?",0
"satira inimaɡaka 4 vana paʈija mata siʈiti.tava liː paʈi 5 k næɡɡa viʈa ohu ehi mæda paʈijaʈa pæmineː inimaɡeː tibena liː paʈi ɡaɳana kiːjada?",2
"meːsa hændakaʈa allana dijara p‍ramaːɳaja mili 15 ki.roːɡijekuʈa ek varakaʈa meːsa hænda bæɡin dinakaʈa tunvarak behet biːmaʈa deji. satijaka tuɭa ohu paːnaja karVnV behet p‍rVmaːɳVjV kopVmVɳVdV?",0
"pæɳi biːma liːʈarajakin 175 bæɡin viːduru 4 k ivat kaɭa viʈa itiri biːma p‍ramaɳaːja kopamaɳada?",0
"dahamɡeː dæn vajasa avurudu 15 ki.ohuɡeː pijaːɡeː dæn vajasa dahamɡeː vajasa men tun ɡuɳajaʈa vaɖaː avurudu 5 k væɖija. tava avurudu 5 kin pijaːɡeː vajasa avurudu kaiːjada?",2
"samat͡ʃaturas‍raːkaːra iɖamaka sæːma pættakinma bæluː viʈa kaɳu 12 k daknaʈa læbeː. mema iɖama vaʈaː æti kaɳu ɡaɳana kiːjada?",2
"maʈa jaːɭuvoː tun denek siʈiti.apa sijalu denaː ekinekaː atara eka bæɡin pænsal huvamaːru kara ɡattemu apa huvamaːru kara ɡat pænsal ɡaɳana kiːjada?",2
"tel ʈæŋkijakaʈa tel 125 liːʈar allaji. vinaːɖi 10 kadiː in 8 liːʈar bæɡin vaːhana valaʈa dæmmeː nam pe.va 10.00 siʈa vaːhana valaʈa tel  dæmiːma aːramba kara æti viʈa pe.va 11.00 vana viʈa ʈæŋkijeː æti tel p‍ramaːɳajV kVopVmVɳVdV?",0
"samat͡ʃaturas‍raːkaːra iɖamak vaʈaː samaːna durin kambi kaɳu siʈuvaː æta.ema iɖama vaʈaː siʈuvaː æti kambi kaɳu ɡaɳana 40 nam ek pættakin bæluːviʈa penena kambi kaɳu ɡaɳana kiːjadV?",2
"20:25 saːmaːn‍ja veːlaːva kiːjada?",1
